"asi","county","state","X","Y","year","index"
27.125,"White Pine","Nevada",-114.608,39.361,1989,408
12.4375,"White Pine","Nevada",-114.454,38.791,1989,409
11.5,"White Pine","Nevada",-114.869,39.578,1989,410
26.9375,"White Pine","Nevada",-115.428,39.053,1989,411
16.3125,"White Pine","Nevada",-114.801,39.622,1989,412
22.3125,"White Pine","Nevada",-115.089,38.905,1989,416
21.375,"White Pine","Nevada",-114.155,38.957,1989,420
13.6875,"White Pine","Nevada",-115.213,39.052,1989,421
17.9375,"White Pine","Nevada",-114.859,40.085,1989,422
24.625,"White Pine","Nevada",-114.306,39.317,1989,423
7.25,"White Pine","Nevada",-114.42,39.302,1989,424
10.6875,"White Pine","Nevada",-115.784,39.386,1989,425
13.8125,"White Pine","Nevada",-115.322,39.188,1989,426
10.3125,"White Pine","Nevada",-115.59,39.492,1989,427
21.75,"White Pine","Nevada",-114.269,39.081,1989,429
16.375,"White Pine","Nevada",-114.827,39.128,1989,430
16.6875,"White Pine","Nevada",-115.757,39.186,1989,431
17.625,"White Pine","Nevada",-114.294,39.128,1989,432
19.75,"White Pine","Nevada",-115.25,39.172,1989,433
12.5,"White Pine","Nevada",-114.799,38.957,1989,435
30.5,"White Pine","Nevada",-114.919,40.088,1989,437
4.375,"White Pine","Nevada",-114.803,39.807,1989,438
12.5,"White Pine","Nevada",-114.31,39.555,1989,439
12.6875,"White Pine","Nevada",-114.452,38.826,1989,440
8.5625,"White Pine","Nevada",-115.205,38.876,1989,441
15,"White Pine","Nevada",-115.684,39.188,1989,442
18.375,"White Pine","Nevada",-114.252,39.575,1989,443
22,"White Pine","Nevada",-114.449,40.117,1989,446
24.125,"White Pine","Nevada",-114.64,39.065,1989,447
7.5625,"White Pine","Nevada",-115.754,39.124,1989,448
26.8125,"White Pine","Nevada",-114.685,39.548,1989,449
15.5625,"White Pine","Nevada",-115.397,39.374,1989,450
13.625,"White Pine","Nevada",-115.754,39.801,1989,452
17.5,"White Pine","Nevada",-115.363,39.555,1989,453
15.625,"White Pine","Nevada",-114.339,39.368,1989,455
18.1875,"White Pine","Nevada",-115.76,39.862,1989,456
13.6875,"White Pine","Nevada",-114.914,38.792,1989,457
16.1875,"White Pine","Nevada",-115.067,38.727,1989,458
11.9375,"White Pine","Nevada",-114.169,39.09,1989,459
14.375,"White Pine","Nevada",-115.504,39.086,1989,460
22.5625,"White Pine","Nevada",-115.272,38.919,1989,461
29.875,"White Pine","Nevada",-114.6,39.987,1989,462
12.0625,"White Pine","Nevada",-114.815,39.321,1989,463
19.25,"White Pine","Nevada",-114.763,39.738,1989,465
13.1875,"White Pine","Nevada",-114.571,39.113,1989,466
13.6875,"White Pine","Nevada",-115.408,39.71,1989,469
16.0625,"White Pine","Nevada",-115.282,39.821,1989,471
23.125,"White Pine","Nevada",-115.729,39.345,1989,472
19.125,"White Pine","Nevada",-114.229,39.867,1989,475
22.3125,"White Pine","Nevada",-115.035,39.701,1989,477
10.4375,"White Pine","Nevada",-115.28,39.38,1989,478
16.8125,"White Pine","Nevada",-115.156,39.896,1989,479
21.4375,"White Pine","Nevada",-115.797,39.115,1989,480
15.9375,"White Pine","Nevada",-114.905,39.868,1989,483
8.8125,"White Pine","Nevada",-115.421,39.643,1989,484
7.125,"White Pine","Nevada",-114.503,39.346,1989,485
11,"White Pine","Nevada",-114.565,39.741,1989,486
28.4375,"White Pine","Nevada",-114.301,38.862,1989,487
14.375,"White Pine","Nevada",-114.725,39.766,1989,488
9.9375,"White Pine","Nevada",-114.05,39.162,1989,489
31.75,"White Pine","Nevada",-114.986,39.756,1989,490
13.125,"White Pine","Nevada",-114.383,38.838,1989,491
20.4375,"White Pine","Nevada",-115.565,39.338,1989,492
21.25,"White Pine","Nevada",-114.281,39.511,1989,493
19.25,"White Pine","Nevada",-115.752,39.32,1989,494
14.4375,"White Pine","Nevada",-114.514,39.745,1989,496
8.125,"White Pine","Nevada",-115.468,39.72,1989,498
11.125,"White Pine","Nevada",-114.223,39.953,1989,499
10.75,"White Pine","Nevada",-115.654,39.578,1989,500
21.375,"White Pine","Nevada",-115.498,39.34,1989,501
3.125,"White Pine","Nevada",-115.705,39.733,1989,502
11.8125,"White Pine","Nevada",-114.313,39.613,1989,503
18.1875,"White Pine","Nevada",-115.043,40.108,1989,506
13.1875,"White Pine","Nevada",-114.645,39.981,1989,509
14.4375,"White Pine","Nevada",-115.37,40.102,1989,510
23.9375,"White Pine","Nevada",-115.265,39.178,1989,511
12.8125,"White Pine","Nevada",-115.75,39.889,1989,514
13.0625,"White Pine","Nevada",-114.212,39.649,1989,515
23.125,"White Pine","Nevada",-115.577,39.949,1989,516
10.5,"White Pine","Nevada",-114.581,39.832,1989,517
19.9375,"White Pine","Nevada",-115.054,40.12,1989,518
11.6875,"White Pine","Nevada",-114.796,39.544,1989,520
11.8125,"White Pine","Nevada",-114.054,39.152,1989,522
23.25,"White Pine","Nevada",-114.497,39.303,1989,523
21.375,"White Pine","Nevada",-115.036,39.078,1989,524
8.3125,"White Pine","Nevada",-114.254,39.835,1989,525
11.5625,"White Pine","Nevada",-114.43,38.714,1989,527
13.75,"White Pine","Nevada",-115.169,39.859,1989,528
9.0625,"White Pine","Nevada",-115.463,39.741,1989,529
25.375,"White Pine","Nevada",-114.954,38.858,1989,531
26.4375,"White Pine","Nevada",-114.849,39.707,1989,532
5.8125,"White Pine","Nevada",-114.434,39.319,1989,534
10.5625,"White Pine","Nevada",-115.413,40.11,1989,535
16.625,"White Pine","Nevada",-115.344,39.958,1989,536
16.5,"White Pine","Nevada",-115.754,39.298,1989,538
17.375,"White Pine","Nevada",-115.347,39.811,1989,539
21.75,"White Pine","Nevada",-114.98,38.989,1989,541
24.4375,"White Pine","Nevada",-115.669,39.057,1989,542
12.75,"White Pine","Nevada",-115.422,39.986,1989,544
15.25,"White Pine","Nevada",-114.085,40.003,1989,546
18.4375,"White Pine","Nevada",-115.172,38.818,1989,547
22.25,"White Pine","Nevada",-114.183,39.455,1989,548
12.6875,"White Pine","Nevada",-115.201,39.808,1989,549
23.5625,"White Pine","Nevada",-115.274,39.104,1989,551
11.125,"White Pine","Nevada",-114.484,39.42,1989,552
9.3125,"White Pine","Nevada",-114.338,39.941,1989,554
14.875,"White Pine","Nevada",-115.498,39.695,1989,555
16.0625,"White Pine","Nevada",-114.103,40.086,1989,556
21.625,"White Pine","Nevada",-115.498,39.036,1989,557
15.25,"White Pine","Nevada",-114.117,39.865,1989,559
